"ALL GROUPS","TUTTI I GRUPPI"
"Customer Group","Gruppo clienti"
"Minimum Qty","Qtà minima"
"Add Minimum Qty","Aggiungi qtà minima"
"We can't rebuild the index for an undefined product.","Impossibile ricostruire l'indice per un prodotto indefinito."
"Could not rebuild index for empty products array","Non è possibile ricostruire l'indice per array prodotti vuoto"
"The stock item for Product is not valid.","L'elemento inventario per il prodotto non è valido."
"This product is out of stock.","Questo prodotto non è disponibile."
"Some of the products are out of stock.","Alcuni prodotti non sono disponibili."
"The stock item for Product in option is not valid.","L'elemento inventario dell'opzione prodotto non è valido."
"Undefined product type","Tipo di prodotto non definito"
"%1 is not a correct comparison method.","%1 non è un metodo di confronto corretto."
"No Backorders","No Backorders"
"Allow Qty Below 0","Consenti qtà inferiori a 0"
"Allow Qty Below 0 and Notify Customer","Consenti qtà inferiori a 0 e notifica al cliente"
"In Stock","Disponibile"
"Out of Stock","Non Disponibile"
"Stock Item with id ""%1"" does not exist.","L'articolo con id ""%1"" non esiste."
"Stock with id ""%1"" does not exist.","Scorta con id ""%1"" non esiste."
"Not all of your products are available in the requested quantity.","Non tutti i prodotti sono disponibili nella quantità richiesta."
"Product with SKU ""%1"" does not exist","Il prodotto con SKU ""%1"" non esiste"
"The fewest you may purchase is %1.","Il minor numero acquistabile è %1."
"Please correct the quantity for some products.","Correggere la quantità di alcuni prodotti."
"The most you may purchase is %1.","La quantità massima acquistabile è %1."
"We don't have as many \"%1\" as you requested.","Non disponiamo di tanti \"%1\" come da richiesta."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Non disponiamo di tanti ""%1"" come da richiesta, ordineremo i restanti %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","""%1"" non è disponibile nella quantità richiesta, quindi ordineremo i restanti %2."
"You can buy %1 only in quantities of %2 at a time.","È possibile acquistare %1 solo in quantità di %2 per volta."
"You can buy this product only in quantities of %1 at a time.","È possibile acquistare questo prodotto solo in quantità di %1 per volta."
"Decimal qty increments is not allowed.","Gli incrementi decimali di qtà non sono consentiti."
"%1 is available to buy in increments of %2","%1 è disponibile per l'acquisto in incrementi di %2"
"Only %1 left","Solo %1 rimasto/i"
"Product availability","Disponibilità prodotto"
"Product Name","Nome prodotto"
"Qty","Qtà"
"Inventory","Inventario"
"Stock Options","Opzioni inventario"
"Decrease Stock When Order is Placed","Diminuisci l'inventario quando l'ordine viene eseguito"
"Set Items' Status to be In Stock When Order is Cancelled","Imposta lo status degli elementi in disponibile quando l'ordine è cancellato"
"Display Out of Stock Products","Mostra i prodotti non disponibili"
"Products will still be shown by direct product URLs.","I prodotti verranno comunque mostrati da URL prodotto diretti."
"Only X left Threshold","Solo X rimasti alla soglia"
"Display products availability in stock on Storefront.","Visualizza la disponibilità prodotti disponibili nel frontend."
"Product Stock Options","Opzioni inventario prodotto"
"
                    Please note that these settings apply to individual items in the cart, not to the entire cart.
                ","                     Notare che queste impostazioni si applicano ai singoli elementi nel carrello, non per l'intero carrello.                 "
"Manage Stock","Gestisci scorte"
"Backorders","Backorders"
"Maximum Qty Allowed in Shopping Cart","Qtà massima consentita nel carrello"
"Out-of-Stock Threshold","Soglia di non disponibilità"
"Minimum Qty Allowed in Shopping Cart","Qtà minima consentita nel carrello"
"Notify for Quantity Below","Notifica per quantità inferiore"
"Automatically Return Credit Memo Item to Stock","Restituisci automaticamente la nota di credito elemento all'inventario"
"Enable Qty Increments","Abilita incrementi qtà"
"Qty Increments","Incrementi qtà"
"Stock","Inventario"
"Index stock","Indice inventario"
"Quantity","Quantità"
