"Is New Update Checked","Nuovo aggiornamento controllato"
"Name","Nome"
"Description","Descrizione"
"Start Time","Ora di inizio"
"End Time","Ora di fine"
"Create Future Update","Crea un aggiornamento futuro"
"Something went wrong while saving the category.","Qualcosa è andato storto durante il salvataggio della categoria."
"Attribute ""%1"" is required.","L\'attributo ""%1"" è obbligatorio."
"Unable to save product","Impossibile salvare il prodotto"
"The image cannot be removed as it has been assigned to the other image role","The image cannot be removed as it has been assigned to the other image role"
"Enabled","Enabled"
"Disabled","Disabled"
"View/Edit","Visualizza/modifica"
"Delete","Elimina"
"Preview","Anteprima"
"Store View:","Store View:"
"Stores Configuration","Stores Configuration"
"Scheduled Changes","Scheduled Changes"
"Start Date","Data Inizio"
"Action","Azione"
"End Date","Data Fine"
"Update Information","Aggiorna Informazioni"
"Remove Category from Update","Rimuovi la categoria dall'aggiornamento"
"Update Name","Aggiorna nome"
"Start date","Data inizio"
"End date","Data fine"
"Enable Category","Attiva la categoria"
"Include in Menu","Includi nel Menu"
"Category Name","Nome categoria"
"Content","Contenuto"
"Category Image","Immagine della categoria"
"Add CMS Block","Aggiungi blocco CMS"
"Display Settings","Impostazioni di visualizzazione"
"Anchor","Ancora"
"Sort Products By","Ordina i prodotti per"
"Use All","Utilizza tutto"
"Default Product Sorting","Ordinamento predefinito dei prodotti"
"Use Config Settings","Use Config Settings"
"Layered Navigation Price Step","Layered Navigation Price Step"
"Search Engine Optimization","Search Engine Optimization"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Design","Design"
"Use Parent Category Settings","Use Parent Category Settings"
"New Theme","New Theme"
"Layout","Layout"
"Layout Update XML","Aggiornamento del layout XML"
"Apply Design to Products","Apply Design to Products"
"Save as a new update","Save as a new update"
"Move to another scheduled change","Move to another scheduled change"
"Delete the scheduled change","Delete the scheduled change"
"Deleting the change will remove the page from this update and all scheduled changes will be lost.","Deleting the change will remove the page from this update and all scheduled changes will be lost."
"20","20"
"30","30"
"50","50"
"100","100"
"200","200"
"ID","ID"
"Thumbnail","Thumbnail"
"Attribute Set","Attribute Set"
"AttributeSetText","AttributeSetText"
"Status","Status"
"StatusText","StatusText"
"Type","Tipo"
"SKU","SKU"
"Price","Prezzo"
"Update Informa1tion","Aggiorna Informazioni"
"Remove Product from Update","Remove Product from Update"
"Set Product as New","Imposta prodotto come nuovo"
"Deleting the change will remove the product from this update and all scheduled changes will be lost.","Deleting the change will remove the product from this update and all scheduled changes will be lost."
"Products","Prodotti"
"Categories","Categorie"
"Path","Percorso"
"Quantity","Quantità"
"Visibility","Visibilità"
"Websites","Website"
