"Export VCL for Varnish ","Esporta VCL per Varnish "
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","Valore ttl ""%1"" non valido. Utilizzare solo numeri maggiori o uguali a zero."
"Built-in Application (Not Recommended for Production Use)","Built-in Application (Not Recommended for Production Use)"
"Varnish Caching","Caching Varnish"
"Full Page Cache","Full Page Cache"
"Caching Application","Caching Applicazione"
"Varnish Configuration","Configurazione Varnish"
"Access list","Elenco accesso"
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.","Elenco accessi IP separati con ',' che possono svuotare la configurazione di Varnish per la generazione del file config.                             Se il campo è vuoto verrà salvato il valore localhost di default."
"Backend host","Host Backend"
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Specificare gli host di backend per la generazione del file config. Se il campo è vuoto verrà salvato il valore predefinito localhost."
"Backend port","Porta backend"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Specifica la porta backend per la generazione del file config. Se il campo è vuoto verrà salvato il valore predefinito 8080."
"TTL for public content","TTL per contenuti pubblici"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved. ","Durata cache contenuto pubblico in secondi. Se il campo è vuoto, verrà salvato il valore predefinito 86400. "
"Page Cache","Page Cache"
"Full page caching.","Full page caching."
