"We cannot retrieve the payment method model object.","Non è possibile recuperare l'oggetto del modello del metodo di pagamento."
"Month","Mese"
"Year","Anno"
"We cannot retrieve the payment info model object.","Non è possibile recuperare l'oggetto del modello del metodo di pagamento."
"N/A","N/D"
"Credit Card Type","Tipo di carta di credito"
"Credit Card Number","Numero carta di credito"
"Switch/Solo/Maestro Issue Number","Numero di emissione Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Data di inizio Switch/Solo/Maestro"
"We cannot retrieve the transparent payment method model object.","Non è possibile recuperare l'oggetto di modello del metodo di pagamento trasparente."
"Command %1 does not exist.","Comando %1 inesistente."
"Wrong gateway response format.","Formato di risposta del gateway errato."
"Validator for field %1 does not exist.","Validatore per il campo %1 non esiste."
"Discount","Sconto"
"Shipping","Spedizione"
"All Allowed Countries","Tutti i paesi permessi"
"Specific Countries","Paesi specifici"
"The payment method you requested is not available.","Il metodo di pagamento che hai richiesto non è disponibile."
"The payment disallows storing objects.","Il pagamento non consente l'archiviazione di oggetti."
"We cannot retrieve the payment method code.","Impossibile recuperare il codice del metodo di pagamento."
"We cannot retrieve the payment information object instance.","Non è possibile recuperare l'istanza di oggetto informazioni di pagamento."
"You can't use the payment type you selected to make payments to the billing country.","Non è possibile utilizzare il tipo di pagamento selezionato per effettuare pagamenti per il paese di fatturazione."
"The order action is not available.","L'azione di ordine non è disponibile."
"The authorize action is not available.","L'azione di autorizzazione non è disponibile."
"The capture action is not available.","L'azione di acquisizione non è disponibile."
"The refund action is not available.","L'azione di rimborso non è disponibile."
"The void action is not available.","L'azione di annullamento non è disponibile."
"The payment review action is unavailable.","L'azione di revisione del pagamento non è disponibile."
"The credit card number doesn't match the credit card type.","Il numero di carta di credito non corrisponde al tipo di carta di credito."
"Invalid Credit Card Number","Numero carta di credito non valido"
"This credit card type is not allowed for this payment method.","Tipo di carta di credito non permesso per questo metodo di pagamento."
"Please enter a valid credit card verification number.","Inserire un numero valido di verifica della carta di credito."
"Please enter a valid credit card expiration date.","Inserire una data di scadenza della carta di credito valida."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","La classe %1 non implementa \Magento\Payment\Model\MethodInterface"
"Yes","Sì"
"No","No"
"Expiration Date","Data di scadenza"
"Card Verification Number","Numero di verifica della carta"
"Switch/Solo/Maestro Only","Solo Switch/Solo/Maestro"
"Issue Number","Numero di emissione"
"Start Date","Data Inizio"
" is not available. You still can process offline actions."," non è disponibile. Puoi ancora elaborare azioni non in linea."
"Please Select","Seleziona"
"We'll ask for your payment details before you place an order.","I dettagli di pagamento verranno richiesti prima di effettuare un ordine."
"--Please Select--","--Seleziona--"
"Card Verification Number Visual Reference","Scheda Verifica numero riferimento visivo"
"What is this?","Cos'è questo?"
"Credit Card Information","Informazioni carta di credito"
"Payment Methods","Metodi di pagamento"
